DATE,TIME,ITEM,PROG,MINUTS,SECONDS
2021-08-01,10:39:28,2CSH10199_0043,TFV4,87,53.1839999
2021-08-01,12:48:29,2CSH10199_0043,TFV5,78,39.72399992
2021-08-01,14:39:54,2CSH10199_0043,TFVI4,90,29.9199999
2021-08-01,15:20:35,2CSH10199_0043,TFV6,25,35.77599999
2021-08-01,15:44:11,2CSH10199_0043,TFV7,23,2.123999995
2021-08-01,16:38:45,2CSH10199_0043,TFV8,24,54.05999999
2021-08-01,17:35:20,2CSH10199_0043,TFVI3,24,15.17999999
2021-08-01,18:46:30,2CSH10199_0043,TFV9,55,6.995999949
2021-08-01,20:12:22,2CSH10199_0043,TFV10,75,18.51199992
2021-08-01,20:52:44,2CSH10199_0043,TFV11,19,45.216
2021-08-01,22:05:18,2CSH10199_0043,TFV12,44,54.85999996
2021-08-01,22:14:44,2CSH10199_0043,TFV13,5,34.644
2021-08-01,23:23:35,2CSH10199_0043,TFVI5,45,15.99199996
2021-08-02,00:03:30,2CSH10199_0043,CANCEL,0,1.48
2021-08-02,00:33:17,2CSH10199_0043,TFV1,5,16.084
2021-08-02,01:19:51,2CSH10199_0043,RAW,23,2.907999995
2021-08-02,03:00:09,2CSH10199_0043,TFV2,56,13.60399995
2021-08-02,03:00:32,2CSH10199_0043,ADD,0,1.468
2021-08-02,03:42:06,2CSH10199_0043,TFV3,41,13.63999997
2021-08-02,04:29:12,2CSH10199_0043,TFVI1,19,21.584
2021-08-02,04:50:20,2CSH10199_0043,TFVI2,19,57.744
2021-08-02,05:23:41,2CSH10199_0043,TFVI2,17,25.36
2021-08-02,05:48:40,2CSH10199_0043,TFVI2,20,13.064
2021-08-02,06:30:59,2CSH10199_0043,TFVI2,20,33.32
2021-08-02,09:45:47,2CSH10199_0043,TFV4,88,25.5519999
2021-08-02,11:33:50,2CSH10199_0043,TFV5,78,37.12399992
2021-08-02,14:08:45,2CSH10199_0043,TFVI4,92,18.0999999
2021-08-02,15:47:03,2CSH10199_0043,TFV6,25,35.49999999
2021-08-02,16:11:48,2CSH10199_0043,TFV7,23,1.859999995
2021-08-02,16:42:25,2CSH10199_0043,TFV8,24,48.13199999
2021-08-02,17:13:39,2CSH10199_0043,TFVI3,24,6.447999993
2021-08-02,18:20:43,2CSH10199_0043,TFV9,55,10.14799995
2021-08-02,19:36:43,2CSH10199_0043,TFV10,75,18.78399992
2021-08-02,20:02:06,2CSH10199_0043,TFV11,19,47.98
2021-08-02,20:51:23,2CSH10199_0043,TFV12,44,47.77599996
2021-08-02,20:57:07,2CSH10199_0043,TFV13,5,31.028
2021-08-02,21:55:49,2CSH10199_0043,TFVI5,42,49.90399997
2021-08-02,21:56:42,2CSH10199_0043,CANCEL,0,1.476
2021-08-02,22:13:05,2CSH10199_0043,MEAS,15,59.348
2021-08-02,22:58:49,2CSH10199_0043,TFV1,5,7.532
2021-08-03,00:23:07,2CSH10199_0043,RAW,22,1.899999996
2021-08-03,00:40:55,2CSH10199_0043,MEAS,15,17.732
2021-08-03,00:48:49,2CSH10199_0043,CANCEL,0,1.5
2021-08-03,01:46:26,2CSH10199_0043,TFV2,55,56.68799995
2021-08-03,01:49:51,2CSH10199_0043,ADD,0,1.488
2021-08-03,01:49:54,2CSH10199_0043,ADD,0,1.468
2021-08-03,02:31:18,2CSH10199_0043,TFV3,41,14.10399997
2021-08-03,03:04:54,2CSH10199_0043,TFVI1,19,53.488
2021-08-03,03:28:13,2CSH10199_0043,TFVI2,19,53.652
2021-08-03,05:03:14,2CSH10199_0043,TFV4,87,56.8679999
2021-08-03,06:33:41,2CSH10199_0043,TFV5,78,31.17599992
2021-08-03,09:34:03,2CSH10199_0043,TFVI4,88,32.2799999
2021-08-03,13:14:38,2CSH10199_0043,TFV6,25,39.19599999
2021-08-03,13:38:44,2CSH10199_0043,TFV7,23,7.983999995
2021-08-03,14:06:30,2CSH10199_0043,TFV8,24,48.18399999
2021-08-03,14:37:55,2CSH10199_0043,TFVI3,24,39.02799999
2021-08-03,15:12:24,2CSH10199_0043,TFVI3,23,36.98399999
2021-08-03,16:10:56,2CSH10199_0043,TFV9,55,3.35199995
2021-08-03,17:27:19,2CSH10199_0043,TFV10,75,14.31599992
2021-08-03,17:55:31,2CSH10199_0043,TFV11,19,45.6
2021-08-03,18:51:59,2CSH10199_0043,TFV12,44,42.00399996
2021-08-03,18:58:14,2CSH10199_0043,TFV13,5,31.2
2021-08-03,19:53:09,2CSH10199_0043,TFVI5,42,32.36399997
2021-08-03,20:46:27,2CSH10199_0043,TFVI5,42,16.23199997
2021-08-03,20:47:26,2CSH10199_0043,CANCEL,0,1.548
2021-08-03,21:23:23,2CSH10199_0043,MEAS,15,17.536
2021-08-03,22:02:24,2CSH10199_0043,TFV1,5,8.128
2021-08-04,00:06:06,2CSH10199_0043,RAW,21,25.976
2021-08-04,00:23:43,2CSH10199_0043,CANCEL,0,1.48
2021-08-04,01:27:26,2CSH10199_0043,TFV2,56,18.92799995
2021-08-04,01:27:43,2CSH10199_0043,ADD,0,1.696
2021-08-04,02:09:18,2CSH10199_0043,TFV3,41,13.51599997
2021-08-04,02:41:01,2CSH10199_0043,TFVI1,20,7.631999999
2021-08-04,03:01:54,2CSH10199_0043,TFVI2,19,55.576
2021-08-04,04:35:15,2CSH10199_0043,TFV4,87,58.5079999
2021-08-04,06:01:12,2CSH10199_0043,TFV5,78,31.67999992
2021-08-04,07:46:19,2CSH10199_0043,TFVI4,88,43.7119999
2021-08-04,10:23:28,2CSH10199_0043,TFV6,25,35.42799999
2021-08-04,11:04:04,2CSH10199_0043,TFV7,23,2.543999995
2021-08-04,11:30:38,2CSH10199_0043,TFV8,24,48.49199999
2021-08-04,12:40:30,2CSH10199_0043,TFVI3,24,2.855999994
2021-08-04,14:11:34,2CSH10199_0043,TFV9,55,3.53199995
2021-08-04,15:27:37,2CSH10199_0043,TFV10,75,14.22399992
2021-08-04,16:09:26,2CSH10199_0043,TFV11,19,40.964
2021-08-04,17:48:31,2CSH10199_0043,TFV12,44,42.31999996
2021-08-04,18:04:54,2CSH10199_0043,TFV13,5,31.096
2021-08-04,19:02:28,2CSH10199_0043,TFVI5,42,26.75599997
2021-08-04,23:02:53,2CSH10199_0043,CANCEL,0,1.456
2021-08-05,00:08:11,CALIBRATION_T99,MPF,1,9.46
2021-08-05,00:13:33,CALIBRATION_T99,MPF,1,6.748
2021-08-05,01:47:32,2CSH10196_0071,TFV,6,34.424
2021-08-05,02:01:07,2CSH10196_0071,TFV,6,15.816
2021-08-05,02:41:29,PRB_CAL,10196,33,26.57199998
2021-08-05,03:07:08,PRB_CAL,0071,22,18.176
2021-08-05,03:22:23,PRB_CAL,10196,4,21.38
2021-08-05,03:27:58,PRB_CAL,10196,4,48.74
2021-08-05,03:32:15,PRB_CAL,10196,3,51.14
2021-08-05,04:00:54,2CSH10196_0071,FIX,25,55.46399999
2021-08-05,04:22:32,2CSH10196_0071,TFV1,7,43.324
2021-08-05,05:06:57,2CSH10196_0071,RAW,22,3.747999996
2021-08-05,05:32:57,2CSH10196_0071,MEAS,5,58.484
2021-08-05,06:41:53,2CSH10196_0071,TFV2,66,50.52799993
2021-08-05,08:44:59,2CSH10196_0071,TFV3,122,57.17999985
2021-08-05,09:03:04,2CSH10196_0071,TFVI2,12,33.772
2021-08-05,09:05:15,2CSH10196_0071,ADD,0,0.476
2021-08-05,09:57:00,2CSH10196_0071,TFV4,51,28.13999995
2021-08-05,13:01:58,2CSH10196_0071,TFV5,184,45.87600042
2021-08-05,14:16:37,2CSH10196_0071,TFV6,74,17.10799992
2021-08-05,14:47:53,2CSH10196_0071,TFVI3,25,44.08799999
2021-08-05,16:44:49,2CSH10196_0071,TFV7,105,45.21999988
2021-08-05,18:08:23,2CSH10196_0071,TFV8,79,35.94799991
2021-08-05,18:52:31,2CSH10196_0071,TFVI4,30,45.91599998
2021-08-05,20:43:30,2CSH10196_0071,TFV9,85,12.19999991
2021-08-05,22:13:42,2CSH10196_0071,TFV10,80,18.61199991
2021-08-06,03:54:19,2CSH10196_0071,TFV11,90,10.0839999
2021-08-06,04:04:02,2CSH10196_0071,TFV12,9,30.892
